Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,156.490005,156.720001,155.949997,156.520004,156.520004,21918700
2017-12-27,156.529999,156.960007,156.389999,156.539993,156.539993,22388200
2017-12-28,157.039993,157.070007,156.539993,156.729996,156.729996,25393800
2017-12-29,156.869995,156.899994,155.699997,155.759995,155.759995,33186000
2018-01-02,156.559998,158.529999,156.169998,158.490005,158.490005,32573300
2018-01-03,158.639999,160.169998,158.610001,160.029999,160.029999,29383600
2018-01-04,160.580002,160.789993,160.080002,160.309998,160.309998,24776100
2018-01-05,161.070007,162.029999,160.770004,161.919998,161.919998,26992300
2018-01-08,161.919998,162.630005,161.860001,162.550003,162.550003,23159100
2018-01-09,162.869995,163.039993,162.070007,162.559998,162.559998,24782400
2018-01-10,161.839996,162.210007,161.119995,162.179993,162.179993,34004000
2018-01-11,162.460007,163.300003,162.210007,163.289993,163.289993,20473500
2018-01-12,163.149994,164.660004,162.940002,164.490005,164.490005,37762700
2018-01-16,165.580002,166.419998,163.529999,164.020004,164.020004,41231800
2018-01-17,164.800003,166.039993,164.000000,165.789993,165.789993,33849900
2018-01-18,165.529999,166.199997,165.139999,165.820007,165.820007,26432200
2018-01-19,166.309998,166.610001,165.539993,166.339996,166.339996,38937600
2018-01-22,166.279999,168.119995,166.089996,168.119995,168.119995,26081400
2018-01-23,168.639999,169.660004,168.559998,169.509995,169.509995,37989700
2018-01-24,169.869995,170.240005,167.440002,168.410004,168.410004,54287400
2018-01-25,169.570007,169.630005,167.809998,168.350006,168.350006,28817500
2018-01-26,169.270004,170.300003,168.960007,169.970001,169.970001,16338192
